Category,Product,Currency,Min amount,Max amount,Interest with salary & insurance,Interest without salary,DAE with salary & insurance,DAE without salary,Fees (analysis/admin),Term,Notes
Maxicont,Cont economii Maxicont,RON,1,-,0.3 % variabila,"Fara comision, alimentare/retragere oricand, acces 24/7 prin George",-,-,0 / 0,-,"Depuneri/retrageri oricand; dobanzi lunar; 10 % impozit rezident"
Savings,Depozit la termen Succes,RON,500,-,0.5-0.8 % (+0.4 % bonus),0.5-0.8 %,-,-,0 / 0,6-12 luni (fixa),"Alimentari supl.; capitalizare automata; dobanda la vedere daca retragi inainte"
Mortgage,Credit Noua Casa,RON,-,66 500 EUR echiv.,Variabila,Variabila,-,Include conditii de eligibilitate pentru locuinte,0 / 0,< 30 ani,"Avans 5-15 %; ipoteca; asigurari PAD + facultativa; depozit colateral 3 dobanzi"
Mortgage,Credit Casa Mea Natura (RoGBC),RON,45 000,-,4.79 % fixa 3 ani,5.99 % fixa 3 ani,7.20 % (ex),8.61 % (ex),0 / 0,< 30 ani,"Locuinte verzi; evaluare gratuita; reducere 1.2 pp cu salariu/pensie; 0 % com. ramb. ant."
Personal Loan,Credit de nevoi personale - George (nou),RON,2 000,200 000,5.99 % fixa,7.19 % fixa,9.62 %,10.89 %,200 lei / 0 lei,< 5 ani,"Reducere 0.5 pp cu asigurare; 0.5/1 % ramb. anticipata"
Personal Loan,Credit de nevoi personale - George (refinantare),RON,2 000,200 000,5.99 % fixa,7.19 % fixa,9.62 %,10.89 %,200 lei / 0 lei,< 5 ani (10 ani pt. credite < 2020),"Refinantare externa; aceleasi beneficii"
Student Loan,StudyUP,RON,-,145 000,11.5 % fixa,-,17.23 %,-,0 lei / 4.5 % p.a.,< 120 luni,"Gratie max. 78 luni; fara codebitori obligatorii"
Overdraft,Descoperit de cont individual,RON,500,70 000,IRCC+10.99 pp (16.54 % curent),-,18.64 %,-,0 lei / 0 lei (25 lei reinnoire),24 luni (rolling),"Dobanda doar pe suma utilizata; asigurare optionala 3 lei/luna"
Credit card,Card de credit BCR Standard,RON,-,40 000,28 % fixa,-,12.1 % (exemplu),-,100 lei emitere / 200 lei anual,Revolving,"Pana 12 rate 0 %; 55 zile gratie; Moneyback"
Credit card,Card de credit BCR IKEA,RON,-,40 000,15 % fixa,-,6.25 % (exemplu),-,0 lei emitere / 30 lei anual,Revolving,"Pana 60 rate 0 % la IKEA; 12 rate la alti comerc."
Account package,George 3.0 Standard,RON,-,-,-,-,-,-,0 lei/luna (â‰¥2 000 lei venit); altfel 12 lei,-,"2 carduri supl. gratuite; retrageri gratuite la BCR; transferuri George 0 lei"
Account package,George 3.0 Gold,RON,-,-,-,-,-,-,25 lei/luna (0 lei la nivel PRO),-,"Lounge-uri Otopeni/Cluj/Timisoara; curs preferential; asigurare calatorie"
Account package,George 3.0 Platinum,RON,-,-,-,-,-,-,50 lei/luna (0 lei la nivel PRO),-,"Priority Pass; lounge global; cashback selectiv; asigurare extinsa"